Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
9020;Toudouze - Clauzel;OUI;21;17;4;2;2;OUI;OUI;2020-12-07T13:21:51+01:00;48.8792959173,2.33736008406;Paris;
16107;Benjamin Godard - Victor Hugo;OUI;35;29;6;4;2;OUI;OUI;2020-12-07T13:21:46+01:00;48.865983,2.275725;Paris;
5001;Harpe - Saint-Germain;OUI;46;3;43;36;7;OUI;OUI;2020-12-07T13:25:25+01:00;48.851518815,2.34367031604;Paris;
6015;André Mazet - Saint-André des Arts;OUI;55;3;52;46;6;OUI;OUI;2020-12-07T13:25:10+01:00;48.8537558106,2.33909580857;Paris;
17041;Guersant - Gouvion-Saint-Cyr;OUI;39;36;3;1;2;OUI;OUI;2020-12-07T13:22:27+01:00;48.8828777518,2.28766737081;Paris;
11104;Charonne - Robert et Sonia Delauney;OUI;20;18;2;1;1;OUI;OUI;2020-12-07T13:26:22+01:00;48.855907556,2.39257067442;Paris;
6108;Saint-Romain - Cherche-Midi;OUI;17;3;13;10;3;OUI;OUI;2020-12-07T13:26:14+01:00;48.8470815908,2.32137478888;Paris;
12109;Mairie du 12ème;OUI;30;26;4;1;3;OUI;OUI;2020-12-07T13:26:42+01:00;48.8408553118,2.38755494356;Paris;
33006;André Karman - République;OUI;31;28;4;1;3;OUI;OUI;2020-12-07T13:26:27+01:00;48.9103987576,2.38513559103;Aubervilliers;
14014;Jourdan - Stade Charléty;OUI;60;58;2;1;1;OUI;OUI;2020-12-07T13:25:02+01:00;48.8194283334,2.34333537519;Paris;
6021;Beaux-Arts - Bonaparte;OUI;20;0;20;7;13;OUI;OUI;2020-12-07T13:24:25+01:00;48.8564519854,2.33485188335;Paris;
17026;Jouffroy d'Abbans - Wagram;OUI;40;33;6;2;4;OUI;OUI;2020-12-07T13:23:44+01:00;48.8819732984,2.30113215744;Paris;
25006;Place Nelson Mandela;OUI;22;13;9;1;8;OUI;OUI;2020-12-07T13:22:38+01:00;48.8620909377,2.19657629728;Rueil-Malmaison;
10013;Alibert - Jemmapes;OUI;60;52;8;4;4;OUI;OUI;2020-12-07T13:26:46+01:00;48.871044052,2.36610446199;Paris;
7001;Invalides - Duroc;OUI;29;5;24;22;2;OUI;OUI;2020-12-07T13:21:31+01:00;48.8477924733,2.31619209051;Paris;
9104;Caumartin - Provence;OUI;22;0;22;12;10;OUI;OUI;2020-12-07T13:23:55+01:00;48.8744227734,2.32846856117;Paris;
17038;Grande Armée - Brunel;OUI;62;26;34;5;29;OUI;OUI;2020-12-07T13:25:16+01:00;48.876116,2.288124;Paris;
14111;Cassini - Denfert-Rochereau;OUI;25;8;16;13;3;OUI;OUI;2020-12-07T13:24:43+01:00;48.8375258391,2.33603540808;Paris;
5016;Thouin - Cardinal Lemoine;OUI;17;6;11;3;8;OUI;OUI;2020-12-07T13:25:59+01:00;48.8450471666,2.34946478513;Paris;
6003;Saint-Sulpice;OUI;21;1;19;16;3;OUI;OUI;2020-12-07T13:23:22+01:00;48.8516538318,2.33080778271;Paris;
15047;Morillons - Dantzig;OUI;52;52;1;1;0;OUI;OUI;2020-12-07T13:20:22+01:00;48.8331014995,2.29938000441;Paris;
13007;Le Brun - Gobelins;OUI;48;10;35;10;25;OUI;OUI;2020-12-07T13:26:41+01:00;48.8350927878,2.35346813513;Paris;
13101;Croulebarde - Corvisart;OUI;34;30;4;1;3;OUI;OUI;2020-12-07T13:21:23+01:00;48.8309816593,2.34816469252;Paris;
5110;Lacépède - Monge;OUI;23;21;2;0;2;OUI;OUI;2020-12-07T13:22:46+01:00;48.8438928653,2.35196638852;Paris;
20143;Ramponeau - Belleville;OUI;44;42;2;1;1;OUI;OUI;2020-12-07T13:26:44+01:00;48.8710311376,2.37905685211;Paris;
42016;Pierre et Marie Curie - Maurice Thorez;OUI;27;20;7;3;4;OUI;OUI;2020-12-07T13:25:11+01:00;48.8158022636,2.37680498511;Ivry-sur-Seine;
31024;Romainville - Vaillant-Couturier;OUI;38;38;0;0;0;OUI;OUI;2020-12-07T13:21:20+01:00;48.86785,2.446748;Montreuil;
41301;Bois de Vincennes - Gare;OUI;50;29;20;15;5;OUI;OUI;2020-12-07T13:26:51+01:00;48.8360222429,2.47083399508;Nogent-sur-Marne;
47007;Liberté - Vert-de-Maisons;OUI;20;7;13;11;2;OUI;OUI;2020-12-07T13:26:22+01:00;48.7901478096,2.43286281824;Maisons-Alfort;
21010;Silly - Galliéni;OUI;25;9;16;12;4;OUI;OUI;2020-12-07T13:26:38+01:00;48.8355838387,2.23255008459;Boulogne-Billancourt;
17044;Porte de Saint-Ouen - Bessières;OUI;42;26;15;14;1;OUI;OUI;2020-12-07T13:26:45+01:00;48.8979224085,2.32851451022;Paris;
7003;Square Boucicaut;OUI;60;7;53;41;12;OUI;OUI;2020-12-07T13:25:48+01:00;48.8512964337,2.32506182045;Paris;
17048;De Toqueville - Terrasse;OUI;30;28;2;2;0;OUI;OUI;2020-12-07T13:21:59+01:00;48.882428,2.314002;Paris;
7002;Vaneau - Sèvres;OUI;35;9;25;21;4;OUI;OUI;2020-12-07T13:26:13+01:00;48.8485632331,2.32042182593;Paris;
16118;Michel-Ange - Parent de Rosan;OUI;26;13;13;6;7;OUI;OUI;2020-12-07T13:16:56+01:00;48.8405799237,2.25841194391;Paris;
11025;Froment - Bréguet;OUI;43;29;14;6;8;OUI;OUI;2020-12-07T13:26:09+01:00;48.8570414505,2.37289470307;Paris;
43002;Lagny - Victor Basch;OUI;26;9;17;10;7;OUI;OUI;2020-12-07T13:26:46+01:00;48.8488414719,2.42632541893;Vincennes;
